,model,dataset,fold,default_config,tuned_config
157,NeuralNetTorch,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r92_BAG_L1
158,RandomForest,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,1,RandomForest_c1_BAG_L1,RandomForest_r17_BAG_L1
159,XGBoost,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,1,XGBoost_c1_BAG_L1,XGBoost_r134_BAG_L1
160,NeuralNetFastAI,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r58_BAG_L1
161,CatBoost,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,2,CatBoost_c1_BAG_L1,CatBoost_r183_BAG_L1
162,LightGBM,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,2,LightGBM_c1_BAG_L1,LightGBM_r144_BAG_L1
163,LinearModel,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,2,LinearModel_c1_BAG_L1,LinearModel_r31_BAG_L1
164,NeuralNetTorch,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r150_BAG_L1
165,RandomForest,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,2,RandomForest_c1_BAG_L1,RandomForest_r139_BAG_L1
166,XGBoost,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,2,XGBoost_c1_BAG_L1,XGBoost_r27_BAG_L1
167,NeuralNetFastAI,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r156_BAG_L1
168,CatBoost,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,0,CatBoost_c1_BAG_L1,CatBoost_r97_BAG_L1
169,LightGBM,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,0,LightGBM_c1_BAG_L1,LightGBM_r182_BAG_L1
170,LinearModel,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,0,LinearModel_c1_BAG_L1,LinearModel_r8_BAG_L1
171,NeuralNetTorch,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r171_BAG_L1
172,RandomForest,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,0,RandomForest_c1_BAG_L1,RandomForest_r178_BAG_L1
173,XGBoost,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,0,XGBoost_c1_BAG_L1,XGBoost_r52_BAG_L1
174,NeuralNetFastAI,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r41_BAG_L1
175,CatBoost,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,1,CatBoost_c1_BAG_L1,CatBoost_r19_BAG_L1
176,LightGBM,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,1,LightGBM_c1_BAG_L1,LightGBM_r36_BAG_L1
177,LinearModel,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,1,LinearModel_c1_BAG_L1,LinearModel_r20_BAG_L1
178,NeuralNetTorch,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r92_BAG_L1
179,RandomForest,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,1,RandomForest_c1_BAG_L1,RandomForest_r141_BAG_L1
180,XGBoost,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,1,XGBoost_c1_BAG_L1,XGBoost_r74_BAG_L1
181,NeuralNetFastAI,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r63_BAG_L1
182,CatBoost,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,2,CatBoost_c1_BAG_L1,CatBoost_r71_BAG_L1
183,LightGBM,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,2,LightGBM_c1_BAG_L1,LightGBM_r36_BAG_L1
184,LinearModel,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,2,LinearModel_c1_BAG_L1,LinearModel_r36_BAG_L1
185,NeuralNetTorch,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r148_BAG_L1
186,RandomForest,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,2,RandomForest_c1_BAG_L1,RandomForest_r105_BAG_L1
187,XGBoost,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,2,XGBoost_c1_BAG_L1,XGBoost_r134_BAG_L1
188,NeuralNetFastAI,GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r29_BAG_L1
189,CatBoost,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,0,CatBoost_c1_BAG_L1,CatBoost_r89_BAG_L1
190,LightGBM,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,0,LightGBM_c1_BAG_L1,LightGBM_r61_BAG_L1
191,LinearModel,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,0,LinearModel_c1_BAG_L1,LinearModel_r22_BAG_L1
192,NeuralNetTorch,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r144_BAG_L1
193,RandomForest,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,0,RandomForest_c1_BAG_L1,RandomForest_r19_BAG_L1
194,XGBoost,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,0,XGBoost_c1_BAG_L1,XGBoost_r133_BAG_L1
195,NeuralNetFastAI,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r173_BAG_L1
196,CatBoost,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,1,CatBoost_c1_BAG_L1,CatBoost_r86_BAG_L1
197,LightGBM,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,1,LightGBM_c1_BAG_L1,LightGBM_r162_BAG_L1
198,LinearModel,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,1,LinearModel_c1_BAG_L1,LinearModel_r22_BAG_L1
199,NeuralNetTorch,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r36_BAG_L1
200,RandomForest,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,1,RandomForest_c1_BAG_L1,RandomForest_r19_BAG_L1
201,XGBoost,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,1,XGBoost_c1_BAG_L1,XGBoost_r133_BAG_L1
202,NeuralNetFastAI,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r193_BAG_L1
203,CatBoost,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,2,CatBoost_c1_BAG_L1,CatBoost_r102_BAG_L1
204,LightGBM,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,2,LightGBM_c1_BAG_L1,LightGBM_r61_BAG_L1
